Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation
tuberculosis,Vancomycin,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Ceftriaxone,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
chlamydia,Azithromycin,Metronidazole,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Amoxicillin,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
skin_abscess,Vancomycin,Ciprofloxacin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Ceftriaxone,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Doxycycline,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
campylobacteriosis,Azithromycin,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Metronidazole,Ampicillin,Chosen for its targeted activity and minimal side effects.
diphtheria,Doxycycline,Linezolid,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Amoxicillin,Clindamycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Vancomycin,Erythromycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Azithromycin,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Doxycycline,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
cholera,Amoxicillin,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Azithromycin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
ear_infection,Ceftriaxone,Ciprofloxacin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Vancomycin,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Ceftriaxone,Metronidazole,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Ceftriaxone,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Ceftriaxone,Linezolid,Rifampin,Effective against common pathogens causing this disease.
chlamydia,Vancomycin,Metronidazole,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Amoxicillin,Linezolid,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Azithromycin,Erythromycin,Rifampin,Effective against common pathogens causing this disease.
typhoid_fever,Azithromycin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
urinary_tract_infection,Azithromycin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
campylobacteriosis,Ceftriaxone,Linezolid,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Azithromycin,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Vancomycin,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Doxycycline,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
pyelonephritis,Vancomycin,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
sinusitis,Ceftriaxone,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
cholera,Azithromycin,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
legionnaires_disease,Amoxicillin,Erythromycin,Ampicillin,Effective against common pathogens causing this disease.
ear_infection,Ceftriaxone,Metronidazole,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Vancomycin,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
whooping_cough,Amoxicillin,Metronidazole,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Azithromycin,Metronidazole,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_endocarditis,Amoxicillin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
chlamydia,Ceftriaxone,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Amoxicillin,Metronidazole,Ampicillin,Effective against common pathogens causing this disease.
skin_abscess,Doxycycline,Erythromycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Amoxicillin,Erythromycin,Rifampin,Effective against common pathogens causing this disease.
urinary_tract_infection,Doxycycline,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Doxycycline,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Vancomycin,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Azithromycin,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
strep_throat,Doxycycline,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Ceftriaxone,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
sinusitis,Amoxicillin,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
cholera,Amoxicillin,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Doxycycline,Erythromycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
ear_infection,Azithromycin,Clindamycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Vancomycin,Erythromycin,Rifampin,Chosen for its targeted activity and minimal side effects.
whooping_cough,Doxycycline,Ciprofloxacin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Vancomycin,Metronidazole,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Amoxicillin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
chlamydia,Ceftriaxone,Erythromycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Azithromycin,Clindamycin,Tetracycline,Effective against common pathogens causing this disease.
skin_abscess,Doxycycline,Ciprofloxacin,Ampicillin,Effective against common pathogens causing this disease.
typhoid_fever,Azithromycin,Linezolid,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Doxycycline,Metronidazole,Tetracycline,Chosen for its targeted activity and minimal side effects.
campylobacteriosis,Ceftriaxone,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
diphtheria,Amoxicillin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Ceftriaxone,Ciprofloxacin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Ceftriaxone,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
pyelonephritis,Vancomycin,Metronidazole,Tetracycline,Chosen for its targeted activity and minimal side effects.
sinusitis,Doxycycline,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
cholera,Amoxicillin,Ciprofloxacin,Ampicillin,Effective against common pathogens causing this disease.
legionnaires_disease,Doxycycline,Clindamycin,Rifampin,Effective against common pathogens causing this disease.
ear_infection,Ceftriaxone,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Amoxicillin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Ceftriaxone,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Vancomycin,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
bacterial_endocarditis,Doxycycline,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Vancomycin,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Doxycycline,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
skin_abscess,Amoxicillin,Ciprofloxacin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
typhoid_fever,Doxycycline,Erythromycin,Gentamicin,Effective against common pathogens causing this disease.
urinary_tract_infection,Amoxicillin,Erythromycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Ceftriaxone,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
diphtheria,Doxycycline,Erythromycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Amoxicillin,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
strep_throat,Ceftriaxone,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Vancomycin,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Amoxicillin,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
cholera,Doxycycline,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Amoxicillin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
ear_infection,Amoxicillin,Clindamycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Vancomycin,Metronidazole,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Vancomycin,Clindamycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Vancomycin,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Ceftriaxone,Metronidazole,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Amoxicillin,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
scarlet_fever,Azithromycin,Metronidazole,Levofloxacin,Effective against common pathogens causing this disease.
skin_abscess,Doxycycline,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Amoxicillin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
urinary_tract_infection,Amoxicillin,Linezolid,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
campylobacteriosis,Amoxicillin,Linezolid,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Erythromycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
diphtheria,Amoxicillin,Linezolid,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Amoxicillin,Ciprofloxacin,Rifampin,Chosen for its targeted activity and minimal side effects.
strep_throat,Vancomycin,Ciprofloxacin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Doxycycline,Linezolid,Gentamicin,Effective against common pathogens causing this disease.
sinusitis,Doxycycline,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
cholera,Amoxicillin,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Doxycycline,Erythromycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Doxycycline,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Ceftriaxone,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
whooping_cough,Vancomycin,Ciprofloxacin,Tetracycline,Chosen for its targeted activity and minimal side effects.
tuberculosis,Doxycycline,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Azithromycin,Linezolid,Rifampin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Ceftriaxone,Metronidazole,Levofloxacin,Effective against common pathogens causing this disease.
scarlet_fever,Doxycycline,Erythromycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Doxycycline,Erythromycin,Ampicillin,Effective against common pathogens causing this disease.
typhoid_fever,Vancomycin,Clindamycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
urinary_tract_infection,Amoxicillin,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Doxycycline,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Ceftriaxone,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
diphtheria,Vancomycin,Erythromycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Vancomycin,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Amoxicillin,Metronidazole,Tetracycline,Chosen for its targeted activity and minimal side effects.
pyelonephritis,Doxycycline,Linezolid,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
sinusitis,Doxycycline,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
cholera,Azithromycin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Vancomycin,Erythromycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Amoxicillin,Clindamycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Ceftriaxone,Ciprofloxacin,Tetracycline,Chosen for its targeted activity and minimal side effects.
whooping_cough,Ceftriaxone,Clindamycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Amoxicillin,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Azithromycin,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Amoxicillin,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
scarlet_fever,Ceftriaxone,Linezolid,Tetracycline,Chosen for its targeted activity and minimal side effects.
skin_abscess,Amoxicillin,Metronidazole,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Azithromycin,Erythromycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Azithromycin,Erythromycin,Levofloxacin,Effective against common pathogens causing this disease.
campylobacteriosis,Amoxicillin,Clindamycin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Vancomycin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
diphtheria,Doxycycline,Erythromycin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Vancomycin,Ciprofloxacin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Doxycycline,Linezolid,Tetracycline,Chosen for its targeted activity and minimal side effects.
pyelonephritis,Amoxicillin,Linezolid,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Amoxicillin,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
cholera,Azithromycin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Ceftriaxone,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Amoxicillin,Clindamycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Vancomycin,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Vancomycin,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Doxycycline,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Ceftriaxone,Clindamycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Amoxicillin,Clindamycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
scarlet_fever,Doxycycline,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Ceftriaxone,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Vancomycin,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
urinary_tract_infection,Amoxicillin,Ciprofloxacin,Rifampin,Effective against common pathogens causing this disease.
campylobacteriosis,Azithromycin,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Clindamycin,Ampicillin,Effective against common pathogens causing this disease.
diphtheria,Azithromycin,Linezolid,Rifampin,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Azithromycin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Ceftriaxone,Linezolid,Rifampin,Effective against common pathogens causing this disease.
pyelonephritis,Doxycycline,Erythromycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Azithromycin,Metronidazole,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
cholera,Vancomycin,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Ceftriaxone,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Vancomycin,Metronidazole,Tetracycline,Effective against common pathogens causing this disease.
osteomyelitis,Doxycycline,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
whooping_cough,Ceftriaxone,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
tuberculosis,Amoxicillin,Erythromycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Amoxicillin,Ciprofloxacin,Tetracycline,Chosen for its targeted activity and minimal side effects.
chlamydia,Azithromycin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Doxycycline,Ciprofloxacin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Doxycycline,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Amoxicillin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Vancomycin,Linezolid,Ampicillin,Effective against common pathogens causing this disease.
campylobacteriosis,Vancomycin,Metronidazole,Gentamicin,Effective against common pathogens causing this disease.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
diphtheria,Ceftriaxone,Clindamycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Doxycycline,Erythromycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
strep_throat,Azithromycin,Linezolid,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Vancomycin,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
sinusitis,Azithromycin,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
cholera,Azithromycin,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Doxycycline,Clindamycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
ear_infection,Amoxicillin,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Doxycycline,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
whooping_cough,Azithromycin,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Amoxicillin,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Doxycycline,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Ceftriaxone,Erythromycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Azithromycin,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
skin_abscess,Vancomycin,Clindamycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
typhoid_fever,Azithromycin,Clindamycin,Ampicillin,Effective against common pathogens causing this disease.
urinary_tract_infection,Vancomycin,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Azithromycin,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Linezolid,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
diphtheria,Azithromycin,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
bacterial_meningitis,Azithromycin,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Doxycycline,Clindamycin,Rifampin,Effective against common pathogens causing this disease.
pyelonephritis,Azithromycin,Erythromycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Ceftriaxone,Ciprofloxacin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
cholera,Doxycycline,Linezolid,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
legionnaires_disease,Amoxicillin,Clindamycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Amoxicillin,Ciprofloxacin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Vancomycin,Ciprofloxacin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
